Feature,Pearson,Spearman,Kendall,MutualInfo,RF_Importance,Lasso_Coef,RFE_Rank
avg_weighted_score,0.25965926598444056,0.24803845326782753,0.17928073678135623,0.0939667112472451,0.009569235796601485,0.03950325098078461,1
sum_weighted_score,0.2556763886552674,0.25831151684902265,0.1868912664976703,0.09011547255813213,0.01937152824781695,0.0,1
humility_challenging,0.1809080052799738,0.1437877457913948,0.11350673997231096,0.07228377231847327,0.03577949539512856,0.0,1
avg_duration_failed_round,0.1631249251094558,0.16946088747513724,0.14096688822486933,0.03653110257741554,0.12881760161950692,0.0,1
n_hintsusedat_30,0.08880653209864937,0.08871842085613363,0.07361798220221874,0.03758411019890273,0.07065705524340299,0.24485347422459863,1
n_redo_failed_round,0.08616384715171416,0.12636987186199222,0.10496430708533068,0.023371059879436107,0.04148978117372499,0.0,3
n_hintsusedat_10,0.08501039132908222,0.06406521989954336,0.04981811157692129,0.007902237033094561,0.03767611147311033,0.0,1
n_redo,0.06929931971044925,0.06518363728323584,0.04840162975062192,0.04401113324291295,0.018386497621592415,0.03474609986045721,1
main_avg_duration,0.06294712200174078,0.06193754632622597,0.043251914338222425,0.01410179189897054,0.009522945955469181,0.0,11
main_sum_duration,0.0629353593862296,0.06189844993098654,0.04320752865144467,0.013010021478746303,0.01425654335962798,0.003611693628170246,10
n_hard,0.05972587452949767,0.0817056968287281,0.06891852581010814,0.0,0.011085205948823371,0.013509394366390717,2
avg_hintsusedat,0.05746671506386813,0.06113085515272086,0.04396443382608369,0.01078286342798318,0.0687502264891784,0.01802615529903908,1
redo_success,0.057203326461114846,0.060655967887558004,0.04505273542854151,0.02149140214892231,0.0746645908588973,5.687077903797161e-05,1
n_choose_Harder,0.05647776365546364,0.10171197679518279,0.07957046657115822,0.11060631102057528,0.01592319932089227,0.0,4
total_hint_time,0.05227866661973365,0.07203989858181466,0.05175605469706129,0.0,0.01042734689301427,0.0,1
n_same,0.046223751631821935,0.058044991526568515,0.04739214556577925,0.05329271572826455,0.025185828863266552,0.0,8
n_veryeasy,0.04438765300881332,0.04693889160728326,0.039033005835621484,0.0,0.01603212394642912,0.0,1
total_n_hint,0.031888673809537076,0.0635140791852956,0.0466075623563907,0.0,0.00913455857153782,0.0,9
total_success,0.031089526133127217,0.03005218260626689,0.02240204353040881,0.0,0.017463985303346714,0.0072930822496841555,5
percent_success_hint_after22,0.02876640336433773,0.05205847379196484,0.042634228902512096,0.03757677938489401,0.024407339499960917,0.01271716379530085,1
main_n_hint,0.0280221443975786,0.06404780918707531,0.047390482154440076,0.003213294200201222,0.014598932646988395,0.02456116282095356,1
main_success_rate,0.027632653817940972,0.035394703366056025,0.02801898005663695,0.0,0.01399181565343134,0.0,7
n_hintsusedat_20,0.025351877375604043,0.053571528041487966,0.0428581444211934,0.018489788828454756,0.012540022037381674,0.0,6
main_n_skip,0.021702697485059232,0.037282801903383116,0.031246354595249024,0.00680427130651351,0.027188187795541916,0.0,1
redo_n_hint,0.020483015205996467,0.0028668622965412165,0.0023695129164278306,0.0029946798942761532,0.018776979489165995,0.0,1
n_redo_failed_round_exclusive,0.01666751309639771,0.08153990085444726,0.06786837742900961,0.03422155655652448,0.01700480899355296,0.0,12
n_skip_hint_under22_reverse,0.013642667102673426,0.05835567162078369,0.043898006989389206,0.0,0.09785127572724073,0.01893830954258968,1
n_easier,0.012802848099583618,0.034669801481055286,0.02942948782329042,0.0207554243916519,0.007964061099557995,0.005749381011036241,13
n_normal,0.011589553914331575,0.0002686532827279565,0.000575675283144828,0.0,0.02181947593921173,0.009558219272841076,1
n_easy,0.007009697739799395,0.0049964881370055045,0.004383027765040379,0.0,0.020634434323510982,1.1145047190775028e-06,1
humility_bottomlimit,0.006940867830086015,0.007248187796595665,0.006513132866242366,0.023952760133641338,0.007828711791905849,0.017356541531500895,1
percent_redo_duration_failedround,0.0024001480296767766,0.04311379640772069,0.032838302069830495,0.0,0.08120009292118205,0.0,1
