,FS_Method,N_Features,ML_Model,CV_RMSE_dev,Holdout_RMSE,Holdout_MAE,Holdout_R2,Pearson_r,Pearson_p,Sig,Best_Params,Features,Time_sec
1,Pearson_gt0.15,11,SVR_Linear,0.6297,0.6253,0.5045,0.1687,0.457,5.9395606910770624e-09,***,"{'model__epsilon': 0.1, 'model__C': 10.0}","sum_weighted_score, humility_challenging, struggle_ratio, score_velocity, Comp_Awareness_Limit, Psych_Calculated_Risk, inter_exploratory_brilliance, inter_obsessive_correction, Feat_Resilient_Explorer, Feat_Strategic_Growth, Mutant_Omega_Curiosity",0.3
2,Pearson_gt0.15,11,HuberRegressor,0.6322,0.632,0.508,0.1509,0.4318,4.7411900190250935e-08,***,"{'model__epsilon': 1.1, 'model__alpha': 0.01}","sum_weighted_score, humility_challenging, struggle_ratio, score_velocity, Comp_Awareness_Limit, Psych_Calculated_Risk, inter_exploratory_brilliance, inter_obsessive_correction, Feat_Resilient_Explorer, Feat_Strategic_Growth, Mutant_Omega_Curiosity",0.4
3,Pearson_gt0.15,11,SVR_RBF,0.6303,0.6446,0.5113,0.1169,0.4242,8.556938103436874e-08,***,"{'model__gamma': 0.001, 'model__epsilon': 0.01, 'model__C': 10.0}","sum_weighted_score, humility_challenging, struggle_ratio, score_velocity, Comp_Awareness_Limit, Psych_Calculated_Risk, inter_exploratory_brilliance, inter_obsessive_correction, Feat_Resilient_Explorer, Feat_Strategic_Growth, Mutant_Omega_Curiosity",0.8
4,RF_Importance_p80,16,ElasticNet,0.6335,0.641,0.5121,0.1267,0.4225,9.783356369053882e-08,***,"{'model__l1_ratio': 0.3, 'model__alpha': 0.1}","sum_weighted_score, carefulness_index, contemplation_index, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_hint_time, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, Psych_Flow_Stamina, ratio_struggle_time, inter_sweet_victory, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer",0.4
5,Pearson_gt0.20,5,MLP_Regressor,0.6303,0.6272,0.5113,0.1638,0.421,1.096766962846684e-07,***,"{'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (128,), 'model__alpha': 0.001, 'model__activation': 'tanh'}","sum_weighted_score, humility_challenging, inter_exploratory_brilliance, inter_obsessive_correction, Feat_Resilient_Explorer",6.9
6,RF_Importance_p80,16,Lasso,0.6342,0.6337,0.5082,0.1464,0.4171,1.4790152877886273e-07,***,{'model__alpha': 0.01},"sum_weighted_score, carefulness_index, contemplation_index, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_hint_time, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, Psych_Flow_Stamina, ratio_struggle_time, inter_sweet_victory, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer",0.3
7,Pearson_gt0.20,5,HuberRegressor,0.6285,0.6318,0.5089,0.1514,0.4152,1.7062525903470407e-07,***,"{'model__epsilon': 2.0, 'model__alpha': 0.01}","sum_weighted_score, humility_challenging, inter_exploratory_brilliance, inter_obsessive_correction, Feat_Resilient_Explorer",0.3
8,Pearson_gt0.15,11,Lasso,0.6291,0.6351,0.5085,0.1426,0.4093,2.6416376346135486e-07,***,{'model__alpha': 0.01},"sum_weighted_score, humility_challenging, struggle_ratio, score_velocity, Comp_Awareness_Limit, Psych_Calculated_Risk, inter_exploratory_brilliance, inter_obsessive_correction, Feat_Resilient_Explorer, Feat_Strategic_Growth, Mutant_Omega_Curiosity",0.2
9,Pearson_gt0.20,5,ElasticNet,0.6282,0.6329,0.5074,0.1485,0.4089,2.726200019967833e-07,***,"{'model__l1_ratio': 0.1, 'model__alpha': 0.01}","sum_weighted_score, humility_challenging, inter_exploratory_brilliance, inter_obsessive_correction, Feat_Resilient_Explorer",0.3
10,Pearson_gt0.20,5,Lasso,0.6284,0.6327,0.5074,0.1491,0.408,2.9097884820689397e-07,***,{'model__alpha': 0.001},"sum_weighted_score, humility_challenging, inter_exploratory_brilliance, inter_obsessive_correction, Feat_Resilient_Explorer",6.3
