,FS_Method,N_Features,ML_Model,CV_RMSE_dev,Holdout_RMSE,Holdout_MAE,Holdout_R2,Best_Params,Features,Time_sec
1,Spearman_gt0.15,2,RandomForest,0.6686,0.6083,0.4861,0.0524,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__max_features': 'sqrt', 'model__max_depth': 5}","score_velocity, Feat_Ego_vs_Capacity",4.7
2,Kendall_gt0.10,3,RandomForest,0.6686,0.6098,0.4875,0.0479,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__max_features': 'sqrt', 'model__max_depth': 5}","score_velocity, hyper_curiosity_index, Feat_Ego_vs_Capacity",4.9
3,Spearman_gt0.15,2,CatBoost,0.6669,0.6128,0.4915,0.0384,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 3, 'model__iterations': 50, 'model__depth': 4}","score_velocity, Feat_Ego_vs_Capacity",4.0
4,Kendall_gt0.10,3,CatBoost,0.666,0.6143,0.4928,0.0337,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 1, 'model__iterations': 50, 'model__depth': 4}","score_velocity, hyper_curiosity_index, Feat_Ego_vs_Capacity",3.6
5,Spearman_gt0.20,5,CatBoost,0.6678,0.6157,0.4948,0.0293,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 3, 'model__iterations': 50, 'model__depth': 4}","Feat_Ego_vs_Capacity, score_velocity, hyper_curiosity_index, ratio_score_per_hint, sum_weighted_score",5.0
6,Kendall_gt0.15,5,CatBoost,0.6678,0.6157,0.4948,0.0293,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 3, 'model__iterations': 50, 'model__depth': 4}","Feat_Ego_vs_Capacity, score_velocity, hyper_curiosity_index, ratio_score_per_hint, sum_weighted_score",4.1
7,Spearman_gt0.20,5,SVR_RBF,0.6668,0.6165,0.4919,0.027,"{'model__gamma': 0.01, 'model__epsilon': 0.01, 'model__C': 0.1}","Feat_Ego_vs_Capacity, score_velocity, hyper_curiosity_index, ratio_score_per_hint, sum_weighted_score",0.9
8,Kendall_gt0.15,5,SVR_RBF,0.6668,0.6165,0.4919,0.027,"{'model__gamma': 0.01, 'model__epsilon': 0.01, 'model__C': 0.1}","Feat_Ego_vs_Capacity, score_velocity, hyper_curiosity_index, ratio_score_per_hint, sum_weighted_score",1.4
9,Spearman_gt0.20,5,Ridge,0.6664,0.617,0.493,0.0253,{'model__alpha': 500.0},"Feat_Ego_vs_Capacity, score_velocity, hyper_curiosity_index, ratio_score_per_hint, sum_weighted_score",0.2
10,Kendall_gt0.15,5,Ridge,0.6664,0.617,0.493,0.0253,{'model__alpha': 500.0},"Feat_Ego_vs_Capacity, score_velocity, hyper_curiosity_index, ratio_score_per_hint, sum_weighted_score",0.3
11,Spearman_gt0.20,5,RandomForest,0.6727,0.6172,0.4962,0.0247,"{'model__n_estimators': 100, 'model__min_samples_split': 2, 'model__max_features': 'sqrt', 'model__max_depth': 5}","Feat_Ego_vs_Capacity, score_velocity, hyper_curiosity_index, ratio_score_per_hint, sum_weighted_score",5.7
12,Kendall_gt0.15,5,RandomForest,0.6727,0.6172,0.4962,0.0247,"{'model__n_estimators': 100, 'model__min_samples_split': 2, 'model__max_features': 'sqrt', 'model__max_depth': 5}","Feat_Ego_vs_Capacity, score_velocity, hyper_curiosity_index, ratio_score_per_hint, sum_weighted_score",6.9
13,Spearman_gt0.15,2,XGBoost,0.6784,0.6173,0.4966,0.0243,"{'model__subsample': 1.0, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.8}","score_velocity, Feat_Ego_vs_Capacity",1.6
14,Kendall_gt0.10,3,SVR_Linear,0.664,0.6174,0.4926,0.0239,"{'model__epsilon': 0.5, 'model__C': 10.0}","score_velocity, hyper_curiosity_index, Feat_Ego_vs_Capacity",0.3
15,Pearson_gt0.15,2,RandomForest,0.6764,0.6175,0.497,0.0236,"{'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__max_features': 'sqrt', 'model__max_depth': 5}","score_velocity, Feat_Strategic_Growth",5.4
16,Lasso_NonZero,28,RandomForest,0.6728,0.6176,0.4985,0.0235,"{'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__max_features': 'log2', 'model__max_depth': 5}","struggle_ratio, score_velocity, boldness_score, hint_reliance_ratio, tuas_dominance, keypad_dominance, hesitation_penalty, exploration_efficiency, hint_dependency_gravity, calculated_risk_taking, stubborn_failure_magnitude, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_success_per_duration, inter_hint_x_skip, PCA_Dur_x_PCA_Hints, Comp_Awareness_Limit, Psych_Calculated_Risk, Psych_Deprivation_Fixation, Psych_Ego_Awareness, Psych_Learned_Helplessness, Psych_Calculated_Risk_Growth, ratio_hint_per_star, ratio_struggle_time, Comp_GBA_AoL_Anchored, Feat_Ego_vs_Capacity, Feat_Cognitive_Waste, Feat_Strategic_Growth",5.7
17,Lasso_NonZero,28,CatBoost,0.6714,0.6183,0.5006,0.0212,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 3, 'model__iterations': 50, 'model__depth': 4}","struggle_ratio, score_velocity, boldness_score, hint_reliance_ratio, tuas_dominance, keypad_dominance, hesitation_penalty, exploration_efficiency, hint_dependency_gravity, calculated_risk_taking, stubborn_failure_magnitude, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_success_per_duration, inter_hint_x_skip, PCA_Dur_x_PCA_Hints, Comp_Awareness_Limit, Psych_Calculated_Risk, Psych_Deprivation_Fixation, Psych_Ego_Awareness, Psych_Learned_Helplessness, Psych_Calculated_Risk_Growth, ratio_hint_per_star, ratio_struggle_time, Comp_GBA_AoL_Anchored, Feat_Ego_vs_Capacity, Feat_Cognitive_Waste, Feat_Strategic_Growth",7.8
18,Spearman_gt0.15,2,SVR_Linear,0.6653,0.6185,0.4943,0.0206,"{'model__epsilon': 0.5, 'model__C': 10.0}","score_velocity, Feat_Ego_vs_Capacity",0.2
19,Pearson_gt0.15,2,XGBoost,0.6791,0.6187,0.4995,0.0199,"{'model__subsample': 1.0, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.8}","score_velocity, Feat_Strategic_Growth",2.6
20,Kendall_gt0.15,5,ElasticNet,0.6663,0.6188,0.4961,0.0196,"{'model__l1_ratio': 0.3, 'model__alpha': 0.1}","Feat_Ego_vs_Capacity, score_velocity, hyper_curiosity_index, ratio_score_per_hint, sum_weighted_score",0.4
21,Spearman_gt0.20,5,ElasticNet,0.6663,0.6188,0.4961,0.0196,"{'model__l1_ratio': 0.3, 'model__alpha': 0.1}","Feat_Ego_vs_Capacity, score_velocity, hyper_curiosity_index, ratio_score_per_hint, sum_weighted_score",0.3
22,Kendall_gt0.10,3,Ridge,0.6651,0.6189,0.496,0.0192,{'model__alpha': 100.0},"score_velocity, hyper_curiosity_index, Feat_Ego_vs_Capacity",0.2
23,Pearson_gt0.20,5,PLSRegression,0.6668,0.6189,0.4989,0.0192,{'model__n_components': 2},"score_velocity, Feat_Strategic_Growth, Psych_Calculated_Risk_Growth, exploration_efficiency, inter_exploratory_brilliance",0.2
24,Spearman_gt0.15,2,SVR_RBF,0.6644,0.619,0.4956,0.0189,"{'model__gamma': 0.01, 'model__epsilon': 0.01, 'model__C': 0.1}","score_velocity, Feat_Ego_vs_Capacity",0.8
25,Pearson_gt0.20,5,SVR_RBF,0.6658,0.619,0.4978,0.0189,"{'model__gamma': 0.01, 'model__epsilon': 0.01, 'model__C': 0.1}","score_velocity, Feat_Strategic_Growth, Psych_Calculated_Risk_Growth, exploration_efficiency, inter_exploratory_brilliance",0.9
