Feature,Pearson,Spearman,Kendall,MutualInfo,RF_Importance,Lasso_Coef,RFE_Rank
Psych_Calculated_Risk_Growth,0.12271198274721173,0.10162688181551503,0.07283834010360424,0.27233050079537424,0.007097821334265208,0.0,1
exploration_efficiency,0.10603096222673983,0.0889744931397147,0.061883598199813775,0.06954180333814275,0.0029884422392535775,0.0,6
stagnation_ratio,0.09346150379722298,0.08666380739805266,0.06272985207190651,0.0,0.0034047832896470114,1.425475070416981e-07,55
Feat_Strategic_Growth,0.09219647096507427,0.07276975456604012,0.050148370275536674,0.016481808487210703,0.002896559912208627,9.186388679863987e-08,53
HighOrd_Score_x_PCAStar,0.08830157841386957,0.0340304372967429,0.023181531677025656,0.0,0.007555943983607139,0.0,41
ratio_redo_success,0.07269660331892323,0.04096771928101156,0.028382507741833752,0.09410760466373747,0.0018522548717239602,0.03254237454211836,14
HighOrd_Score_x_PCADuration,0.07092666128975941,0.006558186265743436,0.0031295210784011646,0.0,0.02055795335827382,0.0,1
Comp_GBA_AoL_Anchored,0.06682378030590297,0.04131398918399098,0.028723782355061383,0.14733921423371354,0.005447398027691088,0.013261125963676922,1
Feat_Ego_vs_Capacity,0.06654705679969011,0.052097141272601906,0.03575237942460939,0.035763369549369095,0.01132789033864769,3.821316046300535e-09,60
Comp_Joyous_Exploration,0.06653415293183339,0.06547871577366293,0.04553589628027647,0.021209468793827124,0.02069351193372927,0.0,1
score_velocity,0.0648915279431449,0.012064931536206715,0.008171770424300662,0.0,0.0032401168948663138,0.0,1
inter_hint_x_skip,0.06193872713115389,0.013160501526593689,0.010332454677294106,0.0,0.01872574358482567,0.0,16
PCA_Performance_Star,0.059813900145574535,0.0132006274171572,0.00870769732555234,0.0308805160367136,0.01144011446939944,2.0296844431071858e-08,59
reckless_action_index,0.05911251318056816,0.006033706389305663,0.004512803751925661,0.010058328256886018,0.006188937894369343,0.0,25
hint_dependency_gravity,0.058476918384457906,0.07107574559013434,0.0556210414295247,0.049761541092853356,0.02072046668713832,0.00619639050927201,1
time_diff_end_vs_start,0.058038189806417825,0.06469873361178353,0.0442552534134668,0.0,0.0027803781629057505,2.4707633271773053e-08,58
PCA_Duration,0.055380821019079964,0.02832158431053385,0.019350507255400762,0.047489110911138166,0.00987093136122584,0.0,12
redo_conversion_rate,0.05527091069042334,0.016605448401160412,0.012068056753577902,0.0,0.007071205953027278,0.004919961793538483,30
PCA_Dur_squared,0.0541802337035669,0.029360822387431477,0.020418483679358643,0.0,0.010961609191624717,0.0,26
grind_capacity,0.054156582524862294,0.052682099799957714,0.04078995639399262,0.04030370205603484,0.020356272174244197,0.0,1
PCA_Dur_x_PCA_Hints,0.054064852525156505,0.057165303338075374,0.03845152821504088,0.003336116121928967,0.0281403577231744,7.051693908291603e-08,56
inter_strategic_retreat,0.05259166374364643,0.04825927284309949,0.03564613524605091,0.0,0.007447009077854114,0.0,24
stubbornness_index,0.051541597983448054,0.044858796407926935,0.03533713277188508,0.11857032788176625,0.005848129264448253,0.005429099059761145,23
Mutant_Omega_Curiosity,0.0513682554407963,0.04502674126972052,0.03030164255352624,0.01847863972443564,0.0016909721573806246,0.0,29
contemplation_index,0.05128569958753817,0.013664584586893742,0.009340516726322308,0.023898785334061312,0.0069687281129741895,1.275902861069119e-07,51
inter_exploratory_brilliance,0.05059773099088533,0.052849302019885074,0.03641108901472296,0.00045621961962671875,0.0048886674537593445,0.005263319647886953,35
ratio_success_per_duration,0.04724839623483642,0.022606545457852553,0.015166270467257784,0.04072385756171615,0.020234770369586434,6.878666937325142e-05,7
HighOrd_Star_x_Effort,0.04724360662277306,0.05914506726901623,0.04102517631867708,0.008890944834853087,0.004130123171857183,0.008546453941601794,42
learning_adaptability,0.04516951011491292,0.011287929266796252,0.007247537689218324,0.03496861174728716,0.01158156888866233,0.016139890284626396,45
Psych_Adaptability,0.04135782999774364,0.014627588834767672,0.011499659660769245,0.004169762161357227,0.001118604243991895,0.00113509506557585,46
ratio_struggle_time,0.04118873577192873,0.013262843015408294,0.008270877433985361,0.019684709742308293,0.02015302638534663,7.915600253825589e-08,54
starlv_x_redo,0.04082950907939328,0.0032981198231098446,0.0021362658582760943,0.015089455906948324,0.001582494013728191,3.430071297125424e-09,61
engagement_persistence,0.04082365871159176,0.033948823457081556,0.023605562022357827,0.0,0.016551717766805266,1.542125364451671e-08,57
Comp_GBA_DS_Anchored,0.040474549553490266,0.003366184896032642,0.0019434293362020163,0.0,0.0014787532475452805,0.038836201262702166,13
Psych_Adaptability_Log,0.04004800003900937,0.014899566627515373,0.011688828989229617,0.0,0.032487799807828094,0.006506639009091329,15
Psych_Perfectionist_Drive,0.038623806495168896,0.006994935356551424,0.004358793264972945,0.005185729188610377,0.019227848839014402,0.0,20
ratio_hint_per_star,0.0377797205457487,0.0020014978601580707,0.0016992644944129698,0.0007735643155557526,0.028219117578895423,0.036919855841562356,1
ratio_hint_time,0.037572740382630844,0.04174510905859211,0.029856916374390002,0.013183795022642997,0.019925745455757548,0.07376025888231104,1
Mutant_AoL_Resilience,0.03742337720863684,0.014249842716690473,0.009601240560108606,0.11054230699307954,0.027487652112027708,0.032195664397641696,1
struggle_ratio,0.03693754558483379,0.042973650227112144,0.03355410460811917,0.0584326976823859,0.00804188156909805,0.0,1
time_diff_phase3_vs_phase1,0.03581500659555914,0.028194008285199353,0.019298107750183174,0.03994583875408164,0.0038350934965387597,0.044102047272242956,27
apathy_speed,0.03551005771032735,0.005107798434710485,0.003777611277355543,0.0,0.009607116122642985,0.0,5
keypad_dominance,0.03522568633138298,0.0076618038972747085,0.005905423249741612,0.004107535823714592,0.013347443978417261,0.0,1
ratio_score_per_hint,0.03461193435463653,0.02220623512537743,0.014097340671725592,0.0,0.02755000624030159,0.0,21
Psych_Flow_Stamina,0.034216780401430856,0.024078742231250914,0.016794366961993382,0.013696632884511395,0.02469323292140757,0.011399109308917786,22
Comp_Awareness_Limit,0.03407246313765539,0.018534417261345533,0.014345775294268765,0.005708204225157942,0.010006506353903861,0.0,18
frustration_breakdown_ratio,0.03366180840376476,0.04847478541861772,0.03913589134618043,0.048540146626963265,0.017925818003716627,0.04092830775135721,1
Mutant_Ego_Death,0.03297731334811675,0.03328778475965684,0.022681286744616776,0.044820616778778355,0.006489468928829196,0.0,1
Psych_Independent_Efficiency,0.03226502532063444,0.022106857882946272,0.014456240710249098,0.02559859025504263,0.019604067367152055,0.01610458589110659,19
Psych_Calculated_Risk,0.03182390047205673,0.055562740971687334,0.037699965445991024,0.07236266885472142,0.006638430481610172,0.005582515034443774,43
boldness_score,0.031250721034621384,0.0552883276729904,0.03887575773455223,0.17518126053882233,0.00797967802713784,0.0,11
Feat_Resilient_Explorer,0.030722598296579754,0.012327912173987578,0.009125083076565243,0.0,0.01093708394174278,0.0,10
hint_reading_duration,0.02947899321140094,0.008100521944428916,0.0049813543089374385,0.03899320175729892,0.0016222137717940982,0.0,32
inter_obsessive_correction,0.027467123942616276,0.012567850974084535,0.008647622910321558,0.0,0.002117426444117337,0.035603242730779104,1
star_efficiency,0.025487331752921467,0.01361979156965301,0.010579210153648187,0.0,0.0070959804873005775,2.2991820285800464e-07,52
calculated_risk_taking,0.024377988769929086,0.005794457925557779,0.004944750124043962,0.0010634596887577619,0.0075673196498464235,6.95943692279049e-07,48
Psych_Learned_Helplessness,0.022647461543145148,0.026997428195339446,0.01942123895542904,0.03267494817265959,0.007378534066466809,1.7382583102566295e-06,50
PCA_Hints,0.021535655267742804,0.006252593286665392,0.0034673980205797163,0.0,0.0074134296242036645,0.03518630047820266,31
impulsive_help_ratio,0.0208009315756943,0.02163488889439459,0.01575104664485526,0.09217985068305135,0.0023610987624135076,0.0,4
stubborn_failure_magnitude,0.019918346585303465,0.05074790612568132,0.03984495027711335,0.027511514438412377,0.025007485259551644,0.032835661323036426,17
time_diff_max_vs_avg,0.019437179947489797,0.00046815099756265734,0.0014619803918598136,0.036339345025673264,0.007608529828960752,0.0,9
hint_effectiveness,0.018774238162646905,0.016761135712534094,0.010948241806597286,0.0,0.019995548855248898,1.2882558470470242e-07,49
inter_cowardice_penalty,0.016782779860316992,0.028452151675264017,0.01857580721072599,0.0038948018948943286,0.00392442581284138,0.0,33
hyper_curiosity_index,0.01568918687071689,0.08778604949386876,0.061484722004702966,0.03986974426921508,0.01622571651166015,0.0,40
adaptive_learning_capacity,0.011008141893076258,0.054346763647597614,0.036588684187481596,0.11701534024331917,0.021599039480041615,0.0,44
hint_reliance_ratio,0.01065133758295915,0.02539780322002832,0.017288376372413556,0.0,0.012318533615215385,0.04339335388172804,3
inter_sweet_victory,0.00876128559423806,0.036271328060741244,0.024988130663526037,0.01977104643795924,0.008554566766155711,0.0,1
