Feature,Pearson,Spearman,Kendall,MutualInfo,RF_Importance,Lasso_Coef,RFE_Rank
sum_weighted_score,0.24870471867401786,0.27025844738472526,0.18814352830220285,0.0053340678640170225,0.011841611579922497,0.0,7
avg_weighted_score,0.24418814256449328,0.25197627208209605,0.17510573760873147,0.0226649318908132,0.025648343520870743,0.0,1
humility_challenging,0.20260862932256354,0.1857051500465557,0.140625247591578,0.05445077632470463,0.03791882898359187,0.0,1
avg_duration_failed_round,0.1739027344977836,0.1898482345217135,0.1517112309265993,0.023170335327802327,0.14146532125294392,0.0,1
n_redo,0.11133623689605833,0.09827944108161876,0.07152147488889006,0.0,0.05357856495509662,0.21966468146832718,1
redo_success,0.09451896168879793,0.08392722703782052,0.06180596761549474,0.01153431197147059,0.04150334247649086,0.005410696906412536,1
n_redo_failed_round,0.09004272848576171,0.15568490359555867,0.12468652709763642,0.02992836699556678,0.03814796129669656,0.0022429831612127784,8
n_hintsusedat_30,0.0855724946686959,0.0804877911150092,0.06495740844732477,0.0,0.017586915335510822,0.04128977127001135,1
total_success,0.08032852355589205,0.06682864478117237,0.04874492630534163,0.013443272185408528,0.007422558141358878,0.0,10
main_avg_duration,0.05939394723156766,0.07462730928344057,0.051056510261609664,0.0,0.014427831404025383,0.0,12
main_sum_duration,0.059392270528629824,0.07463061961014768,0.05104445396648827,0.0,0.013512055700632145,0.0,1
n_hintsusedat_10,0.052982035747238095,0.06936762503343197,0.05210957741322185,0.0,0.06968024935767579,0.04559713267647654,1
total_n_hint,0.05185939452301867,0.06798556280133018,0.048919685939540845,0.0,0.0705812111856067,0.0,1
total_hint_time,0.04827786750408439,0.0581042772761138,0.03952501408757358,0.05732837201751595,0.014429312111134442,0.0,1
redo_n_hint,0.04563673648833545,0.020440724130109268,0.016324620196101175,0.0,0.009589108653056443,0.0,1
main_n_hint,0.04087517434516595,0.06089779438338103,0.043824997446649853,0.0,0.022980463716534085,0.0,1
n_veryeasy,0.03652782617391335,0.042260160073198896,0.03383835996544166,0.004539855632722745,0.017000246776892394,0.0,1
n_choose_Harder,0.03648534053087715,0.08385051406128127,0.06188284283355893,0.07294745140036074,0.009555724083326219,0.017916242659046656,1
n_skip_hint_under22_reverse,0.036075270135288114,0.07131276494811514,0.053072985441671855,0.003559617336477139,0.018899313617493783,0.032661448920159396,11
n_redo_failed_round_exclusive,0.0330749838244353,0.09971132240738101,0.08035850897352226,0.0,0.03129977198271197,0.040982779803514155,1
avg_hintsusedat,0.03023644676738668,0.006850982009174033,0.0034589882272046753,0.0,0.020353228573141716,0.0037818509664240842,4
n_easy,0.028602534080080736,0.031029159069160168,0.02236970114811379,0.010293742732260469,0.01636545336540904,0.0006186800685977403,6
humility_bottomlimit,0.027586551531128677,0.013806524602623467,0.009775493321356537,0.08255252860596407,0.01297821354547256,0.0,13
percent_success_hint_after22,0.0274132204667756,0.03995844626089788,0.03168506405540295,0.00319579931212699,0.021040222587476603,0.0,1
n_same,0.025831683382152384,0.03866487127270178,0.029929253053847697,0.01637509756878819,0.024758835407425583,0.0,2
n_hard,0.018641485175423248,0.04845506372955384,0.039213311507659034,0.0,0.019123360369938953,0.0,3
main_n_skip,0.013004948354702133,0.002308446167497427,0.0018593951827914374,0.0,0.08447078023505299,0.0,1
n_easier,0.01263167735346189,0.023435474337008006,0.019180024314209742,0.04493646004381824,0.0072573017309833015,0.010707241074238549,9
n_hintsusedat_20,0.010826576321542006,0.02610677506105839,0.020405172175000274,0.031059051913636893,0.036385576521709234,0.02299609842438984,5
main_success_rate,0.006096387050943403,0.02703855402196131,0.02106931849403353,0.01979367131514831,0.019090389483324133,9.281461358120608e-05,1
n_normal,0.004194340770087077,0.010927640355535529,0.007969521428002689,0.0,0.009224857295508785,0.03122440346167775,1
percent_redo_duration_failedround,0.0017946911076490337,0.042877522610497674,0.03132513407512174,0.0,0.06188304475298504,0.0,1
