iter	RMSE
0	0.6112384326
1	0.6083370281
2	0.6054795363
3	0.6027243274
4	0.5997663113
5	0.596880002
6	0.5943713835
7	0.5918386293
8	0.5899802645
9	0.5880065838
10	0.5861027344
11	0.5841643647
12	0.5826668194
13	0.5810745612
14	0.5794046154
15	0.5781353217
16	0.5763427131
17	0.5745908765
18	0.5730431429
19	0.5717799522
20	0.5703531703
21	0.5685879934
22	0.5672452104
23	0.5660938107
24	0.5650690285
25	0.5639648032
26	0.5629564181
27	0.5617143647
28	0.5603973932
29	0.5597290161
30	0.5586796362
31	0.5577906786
32	0.5566187133
33	0.5558210017
34	0.5549188324
35	0.5540334231
36	0.552855733
37	0.5521955489
38	0.550663815
39	0.549758057
40	0.5489155579
41	0.5481710509
42	0.5469889667
43	0.5461862632
44	0.5454594003
45	0.5446528971
46	0.5436355675
47	0.5426972556
48	0.5419976369
49	0.5413536592
