iter	Passed	Remaining
0	4	228
1	8	204
2	11	183
3	16	186
4	19	174
5	23	171
6	26	161
7	29	156
8	32	149
9	37	148
10	40	142
11	43	138
12	46	132
13	49	128
14	52	123
15	56	120
16	59	115
17	62	111
18	65	107
19	69	104
20	72	99
21	77	99
22	81	95
23	85	92
24	89	89
25	94	86
26	98	83
27	102	80
28	105	76
29	109	73
30	112	68
31	116	65
32	121	62
33	125	59
34	129	55
35	132	51
36	136	48
37	139	44
38	143	40
39	146	36
40	149	32
41	170	32
42	173	28
43	176	24
44	179	19
45	184	16
46	187	11
47	191	7
48	194	3
49	197	0
