Participant ID,Testing Site,Gender,Age,Edu,Pulau,Job_Status,Job_Title,Tenure,Level,Frekuensi Bermain Game,Jenis Game 1 (Action_Adventure),Jenis Game 2 (RPG),Jenis Game 3 (Strategy_Simulation),Jenis Game 4 (Sports_Racing),Jenis Game 5 (Casual_Puzzle),Jenis Game 6 (Not Applicable_Do Not Play),Jenis_Game_n,BFP.O_4item,WC_All,C_Semantic_All,C_Semantic_14item,C_Likert_All,C_Likert_13item,C_S_JE,C_S_DS,C_S_AOL,C_L_JE,C_L_DS,C_L_AOL,main_success_rate,redo_success,total_success,sum_weighted_score,avg_weighted_score,n_skip_hint_under22_reverse,percent_redo_duration_failedround,avg_duration_failed_round,n_redo_failed_round,n_redo_failed_round_exclusive,main_n_skip,main_sum_duration,main_avg_duration,percent_success_hint_after22,humility_bottomlimit,total_n_hint,main_n_hint,redo_n_hint,humility_challenging,n_redo,n_easier,n_same,n_choose_Harder,n_hintsusedat_10,n_hintsusedat_20,n_hintsusedat_30,avg_hintsusedat,n_veryeasy,n_easy,n_normal,n_hard,success_main_r1,success_main_r2,success_main_r3,success_main_r4,success_main_r5,success_main_r6,success_main_r7,success_main_r8,success_main_r9,success_main_r10,mechanic_type_r1,mechanic_type_r2,mechanic_type_r3,mechanic_type_r4,mechanic_type_r5,mechanic_type_r6,mechanic_type_r7,mechanic_type_r8,mechanic_type_r9,mechanic_type_r10,skip_main_r1,skip_main_r2,skip_main_r3,skip_main_r4,skip_main_r5,skip_main_r6,skip_main_r7,skip_main_r8,skip_main_r9,skip_main_r10,difficulty_r1,difficulty_r2,difficulty_r3,difficulty_r4,difficulty_r5,difficulty_r6,difficulty_r7,difficulty_r8,difficulty_r9,difficulty_r10,duration_main_r1,duration_main_r2,duration_main_r3,duration_main_r4,duration_main_r5,duration_main_r6,duration_main_r7,duration_main_r8,duration_main_r9,duration_main_r10,hintuse_main_r1,hintuse_main_r2,hintuse_main_r3,hintuse_main_r4,hintuse_main_r5,hintuse_main_r6,hintuse_main_r7,hintuse_main_r8,hintuse_main_r9,hintuse_main_r10,hintuse_time_main_r1,hintuse_time_main_r2,hintuse_time_main_r3,hintuse_time_main_r4,hintuse_time_main_r5,hintuse_time_main_r6,hintuse_time_main_r7,hintuse_time_main_r8,hintuse_time_main_r9,hintuse_time_main_r10,star_main_r1,star_main_r2,star_main_r3,star_main_r4,star_main_r5,star_main_r6,star_main_r7,star_main_r8,star_main_r9,star_main_r10,roundfailed_percent_1,roundfailed_percent_2,roundfailed_percent_3,difficultychange_1,difficultychange_2,difficultychange_3,redo_n_r1,redo_n_r2,redo_n_r3,redo_n_r4,redo_n_r5,redo_n_r6,redo_n_r7,redo_n_r8,redo_n_r9,redo_n_r10,redo_total_duration,redo_avg_duration,redo_percent_duration
1uibdorakamin1a0,Remote,Perempuan,22,SMA,Jawa,Mahasiswa,-,0,N/A (Bukan Pekerja),Jarang (3-4 kali dalam sebulan),0,0,0,0,0,0,2,5.00,5.2,4.78,4.76,4.94,4.77,3.2,5.17,5.57,4.4,4.83,5.6,90,3,12,10.5,1.05,90,15.39,42.52,1,2,1,205.12,20.51,10,33.33,2,2,0,66.67,3,1,1,33.33,2,2,1,31.11,6,4,0,0,1,0,1,1,1,1,1,1,1,1,1,2,3,1,2,3,1,2,3,1,0,1,0,0,0,0,0,0,0,0,Easy,Easy,Easy,Very Easy,Very Easy,Very Easy,Very Easy,Very Easy,Very Easy,Easy,38.53,42.52,27.18,10.13,11.37,7.13,11.98,40.62,5.7,9.95,1,1,0,0,0,0,0,0,0,0,24.7,37.52,,,,,,,,,1,0,2,3,3,3,3,2,3,3,33.33,0,0,Easier,Same,Harder,1,1,0,0,0,0,0,1,0,0,36.29,12.09667,24.19333
1uibdorakamin1b2,Remote,Laki-laki,20,SMA,Jawa,Mahasiswa,-,0,N/A (Bukan Pekerja),Jarang (3-4 kali dalam sebulan),0,0,0,0,0,0,1,5.00,4.6,3.89,4.71,4.26,4.15,2.4,4.67,4.29,4,4.17,4.6,90,4,13,17,1.7,80,9.24,45,1,1,0,176.87,17.69,0,33.33,3,3,0,66.67,4,0,2,33.33,2,1,0,16.1,0,3,7,0,1,1,1,1,0,1,1,1,1,1,1,2,3,1,2,3,1,2,3,1,0,0,0,0,0,0,0,0,0,0,Easy,Easy,Easy,Normal,Normal,Normal,Normal,Normal,Normal,Normal,10.43,20.23,9.57,23.57,45,15.23,8.18,15.35,20.4,8.9,0,0,0,0,1,1,0,0,1,0,,,,,27.6,8.18,,,12.52,,3,2,3,2,0,1,3,2,1,3,0,33.33,0,Harder,Same,Same,0,1,0,1,1,0,0,1,0,0,43.99,10.9975,29.32667
1uibdorakamin1b3,Remote,Laki-laki,22,S1/D4,Jawa,Pekerja,Waiters,1,Staf,Tidak Pernah,0,0,0,0,0,0,1,3.25,2.9,2.89,4.00,3.06,3.08,1.8,2.67,3.86,2.8,3.17,3.2,60,3,9,9,0.9,60,14.32,0.71,3,3,4,67.58,6.76,0,33.33,0,0,0,33.33,3,0,3,0,0,0,0,0,0,10,0,0,1,1,1,1,1,1,0,0,0,0,1,2,3,1,2,3,1,2,3,1,0,0,0,0,0,0,1,1,1,1,Easy,Easy,Easy,Easy,Easy,Easy,Easy,Easy,Easy,Easy,10.17,12.6,3.33,6.78,25.1,6.75,0.98,0.48,0.22,1.17,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,3,3,3,3,2,3,0,0,0,0,0,0,100,Same,Same,Same,0,0,0,0,0,0,1,1,0,1,21.48,7.16,14.32
1uibdorakamin1b4,Remote,Perempuan,21,SMA,Luar Jawa,Mahasiswa,-,0,N/A (Bukan Pekerja),Jarang (3-4 kali dalam sebulan),0,0,0,0,0,0,1,5.00,5.1,5.22,2.86,5.02,5.38,4.6,5.33,5.57,5.2,5.67,4.2,100,4,14,12,1.2,100,0,0,0,0,0,140.03,14,10,0,1,1,0,33.33,4,1,1,33.33,1,1,1,32.38,6,4,0,0,1,1,1,1,1,1,1,1,1,1,1,2,3,1,2,3,1,2,3,1,0,0,0,0,0,0,0,0,0,0,Easy,Easy,Easy,Very Easy,Very Easy,Very Easy,Very Easy,Very Easy,Very Easy,Easy,40.8,27.15,9.72,8.9,16.37,3.98,6.9,15.98,3.6,6.63,1,0,0,0,0,0,0,0,0,0,32.38,,,,,,,,,,1,2,3,3,2,3,3,2,3,3,0,0,0,Easier,Same,Harder,1,1,0,0,1,0,0,1,0,0,37.53,9.3825,25.02
1uibdorakamin1b6,Remote,Laki-laki,22,SMA,Jawa,Mahasiswa,-,0,N/A (Bukan Pekerja),Selalu (Setiap Hari),0,0,0,0,0,0,2,4.00,4.8,5.11,5.21,4.82,4.77,4.2,5.33,5.57,5,4.67,4.8,80,5,13,13.5,1.35,90,16.66,45,2,2,1,216.47,21.65,10,33.33,2,2,0,66.67,5,0,2,33.33,2,2,1,32.65,0,6,4,0,1,1,1,1,1,1,0,0,1,1,1,2,3,1,2,3,1,2,3,1,0,0,0,0,0,0,1,0,0,0,Easy,Easy,Easy,Easy,Easy,Easy,Normal,Normal,Normal,Normal,8.67,16.52,5.52,14.42,15.75,5.33,36.4,53.6,29.13,31.13,0,0,0,0,0,0,0,1,1,0,,,,,,,,42.97,22.33,,3,2,3,3,2,3,0,0,1,2,0,0,66.67,Same,Harder,Same,0,1,0,0,1,0,1,1,0,1,54.41,10.882,36.27333
2uibdorakamin1a1,Remote,Perempuan,21,SMA,Jawa,Mahasiswa,-,0,Freelance,Sering (3-4 kali dalam seminggu),0,0,0,0,0,0,1,5.00,5.2,4.72,5.14,4.83,4.77,3.8,4.33,5.71,5.2,4.5,4.8,90,5,14,10.5,1.05,80,4.3,45,1,1,0,217.82,21.78,10,33.33,4,3,1,66.67,5,1,1,33.33,1,1,0,13.46,6,4,0,0,0,1,1,1,1,1,1,1,1,1,1,2,3,1,2,3,1,2,3,1,0,0,0,0,0,0,0,0,0,0,Easy,Easy,Easy,Very Easy,Very Easy,Very Easy,Very Easy,Very Easy,Very Easy,Easy,45,39.83,33.32,8.62,18.03,9.23,34.62,13.78,4.73,10.65,0,0,1,0,1,1,0,0,0,0,,,28.03,,7.48,4.85,,,,,0,2,1,3,1,1,2,3,3,3,33.33,0,0,Easier,Same,Harder,1,1,0,0,2,0,1,0,0,0,66.8,13.36,44.53333
2uibdorakamin1b0,Remote,Perempuan,18,SMA,Luar Jawa,Mahasiswa,-,0,N/A (Bukan Pekerja),Sering (3-4 kali dalam seminggu),0,0,0,0,0,0,1,3.00,1.3,2.06,4.57,2.82,2.38,1,1.17,3.57,1.6,2.67,4.2,90,1,10,25,2.5,90,0,45,0,0,0,118.42,11.84,0,0,1,1,0,66.67,1,0,0,100,0,0,0,8.7,0,3,3,4,1,1,1,1,1,1,1,1,0,1,1,2,3,1,2,3,1,2,3,1,0,0,0,0,0,0,0,0,0,0,Easy,Easy,Easy,Normal,Normal,Normal,Hard,Hard,Hard,Hard,6.82,11.47,3.48,18.05,10.28,4.38,6.5,8.07,45,4.37,0,0,0,0,0,0,0,0,1,0,,,,,,,,,8.7,,3,3,3,2,3,3,3,3,0,3,0,0,33.33,Harder,Harder,Harder,0,0,0,1,0,0,0,0,0,0,6.82,6.82,4.546667
2uibdorakamin1b10,Remote,Perempuan,24,S1/D4,Luar Jawa,Pekerja,Digital Marketer,0,Staf,Jarang (3-4 kali dalam sebulan),0,0,0,0,0,0,1,4.75,4.9,5,2.00,4.67,4.62,3,6,5.57,4.2,5,4.8,80,0,8,21,2.1,80,95.89,45,1,1,0,209.45,20.95,10,33.33,4,4,0,100,1,1,0,66.67,3,2,2,24.44,0,3,4,3,1,1,1,1,1,1,1,1,0,0,1,2,3,1,2,3,1,2,3,1,0,0,0,0,0,0,0,0,0,0,Easy,Easy,Easy,Normal,Normal,Normal,Hard,Hard,Hard,Normal,6.58,10.63,3.45,11.35,11.83,43.52,22.05,10.03,45,45,0,0,0,0,0,1,1,1,1,0,,,,,,38.83,12.03,2.48,44.42,,3,3,3,3,3,1,1,1,0,0,0,0,33.33,Harder,Harder,Easier,0,0,0,0,0,0,0,0,0,1,143.83,143.83,95.88667
2uibdorakamin1b12,Remote,Perempuan,30,S1/D4,Jawa,Mahasiswa,Search Engine Evaluator,0,Freelance,Tidak Pernah,0,0,0,0,0,0,3,4.75,4.3,4,4.86,3.59,3.85,2.8,4.5,4.43,3.2,4.17,3.4,50,7,12,6,0.6,90,67.99,45,7,5,0,293.93,29.39,0,66.67,3,2,1,66.67,7,1,1,33.33,1,1,1,21.4,6,4,0,0,0,0,1,0,0,1,1,0,1,1,1,2,3,1,2,3,1,2,3,1,0,0,0,0,0,0,0,0,0,0,Easy,Easy,Easy,Very Easy,Very Easy,Very Easy,Very Easy,Very Easy,Very Easy,Easy,45,45,9.75,45,45,17.05,11.88,45,17.77,12.48,0,0,0,0,0,0,0,1,1,0,,,,,,,,33.4,9.4,,0,0,3,0,0,2,3,0,1,3,66.67,66.67,33.33,Easier,Same,Harder,1,1,0,1,3,0,0,1,0,0,128.38,18.34,85.58667
2uibdorakamin1b3,Remote,Laki-laki,21,SMA,Luar Jawa,Mahasiswa,-,0,N/A (Bukan Pekerja),Sering (3-4 kali dalam seminggu),0,0,0,0,0,0,4,4.25,4.5,4.44,3.93,4.19,4.38,3.8,4.67,4.71,4.8,4.17,3.6,90,4,13,25,2.5,100,0,45,0,0,0,189.68,18.97,20,33.33,3,3,0,100,4,0,1,66.67,3,3,1,30.3,0,3,3,4,1,1,1,1,1,1,1,1,0,1,1,2,3,1,2,3,1,2,3,1,0,0,0,0,0,0,0,0,0,0,Easy,Easy,Easy,Normal,Normal,Normal,Hard,Hard,Hard,Hard,8.77,20.6,8.03,9.33,21,12.83,30.43,28.95,45,4.73,0,0,0,0,0,0,1,1,1,0,,,,,,,26.03,23.73,41.13,,3,2,3,3,2,3,1,1,0,3,0,0,33.33,Harder,Harder,Same,0,1,0,0,1,0,1,1,0,0,28.9,7.225,19.26667
