,FS_Method,N_Features,ML_Model,CV_RMSE_dev,Holdout_RMSE,Holdout_MAE,Holdout_R2,Pearson_r,Pearson_p,Sig,Best_Params,Features,Time_sec
1,MutualInfo_p90,8,SVR_Linear,0.5351,0.4931,0.3985,0.0812,0.295,8.53008718572875e-05,***,"{'model__epsilon': 0.5, 'model__C': 1.0}","humility_challenging, struggle_ratio, grind_capacity, stubbornness_index, impulsive_help_ratio, hint_dependency_gravity, adaptive_learning_capacity, Psych_Calculated_Risk_Growth",0.4
2,Spearman_gt0.20,1,KNN_Regressor,0.5518,0.5037,0.4119,0.0412,0.2237,0.0031848258952466954,**,"{'model__weights': 'uniform', 'model__p': 2, 'model__n_neighbors': 15}",sum_weighted_score,0.2
3,RF_Importance_p90,8,KNN_Regressor,0.5327,0.5084,0.4083,0.0231,0.2013,0.008098663427132344,**,"{'model__weights': 'distance', 'model__p': 1, 'model__n_neighbors': 15}","score_velocity, contemplation_index, time_diff_end_vs_start, time_diff_max_vs_avg, PCA_Dur_x_PCA_Hints, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity",0.3
4,Spearman_gt0.30,5,MLP_Regressor,0.5333,0.5061,0.4083,0.032,0.1969,0.009643934825196624,**,"{'model__learning_rate': 'constant', 'model__hidden_layer_sizes': (128,), 'model__alpha': 0.001, 'model__activation': 'tanh'}","sum_weighted_score, Feat_Ego_vs_Capacity, inter_exploratory_brilliance, Feat_Strategic_Growth, Psych_Calculated_Risk",7.0
5,Spearman_gt0.20,1,Lasso,0.527,0.5055,0.4112,0.0341,0.1964,0.009812293172542574,**,{'model__alpha': 0.001},sum_weighted_score,0.2
6,Spearman_gt0.20,1,PLSRegression,0.527,0.5055,0.4112,0.0341,0.1964,0.009812293172542574,**,{'model__n_components': 2},sum_weighted_score,0.1
7,Spearman_gt0.20,1,Ridge,0.5269,0.5056,0.4112,0.034,0.1964,0.009812293172542641,**,{'model__alpha': 10.0},sum_weighted_score,0.2
8,Spearman_gt0.20,1,ElasticNet,0.5269,0.5056,0.4112,0.034,0.1964,0.009812293172542574,**,"{'model__l1_ratio': 0.1, 'model__alpha': 0.01}",sum_weighted_score,0.2
9,Spearman_gt0.20,1,HuberRegressor,0.5269,0.5056,0.4113,0.0339,0.1964,0.009812293172542416,**,"{'model__epsilon': 1.35, 'model__alpha': 0.01}",sum_weighted_score,0.2
10,Spearman_gt0.20,1,SVR_Linear,0.5273,0.5065,0.4122,0.0303,0.1964,0.009812293172542386,**,"{'model__epsilon': 0.01, 'model__C': 10.0}",sum_weighted_score,0.2
11,Spearman_gt0.20,1,SVR_RBF,0.5269,0.5068,0.4124,0.0294,0.1963,0.009859667270062183,**,"{'model__gamma': 0.001, 'model__epsilon': 0.01, 'model__C': 10.0}",sum_weighted_score,0.6
12,Lasso_NonZero,28,CatBoost,0.5283,0.5071,0.4068,0.028,0.1839,0.01576366381283484,*,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 5, 'model__iterations': 50, 'model__depth': 6}","struggle_ratio, grind_capacity, score_velocity, hint_reading_duration, hint_reliance_ratio, tuas_dominance, keypad_dominance, hesitation_penalty, hint_dependency_gravity, calculated_risk_taking, stubborn_failure_magnitude, time_diff_max_vs_avg, ratio_hint_time, inter_hint_x_skip, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, Comp_Awareness_Limit, Psych_Deprivation_Fixation, Psych_Ego_Awareness, Psych_Calculated_Risk_Growth, ratio_struggle_time, ratio_score_per_hint, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_AoL_Anchored, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",6.3
13,RF_Importance_p90,8,XGBoost,0.5398,0.5148,0.4105,-0.0015,0.181,0.017494381207336342,*,"{'model__subsample': 1.0, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.8}","score_velocity, contemplation_index, time_diff_end_vs_start, time_diff_max_vs_avg, PCA_Dur_x_PCA_Hints, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity",4.6
14,MutualInfo_p70,24,CatBoost,0.5287,0.5072,0.4055,0.0278,0.1761,0.02083526281167625,*,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 1, 'model__iterations': 50, 'model__depth': 4}","humility_challenging, struggle_ratio, grind_capacity, boldness_score, engagement_persistence, stubbornness_index, impulsive_help_ratio, contemplation_index, star_efficiency, hint_dependency_gravity, frustration_breakdown_ratio, adaptive_learning_capacity, stubborn_failure_magnitude, time_diff_end_vs_start, ratio_redo_success, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Calculated_Risk, Psych_Learned_Helplessness, Psych_Calculated_Risk_Growth, inter_exploratory_brilliance, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_Ego_Death",4.8
