,FS_Method,N_Features,ML_Model,CV_RMSE_dev,Holdout_RMSE,Holdout_MAE,Holdout_R2,Best_Params,Features,Time_sec
1,RF_Importance_p80,16,CatBoost,0.7514,0.7635,0.618,0.0102,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 3, 'model__iterations': 50, 'model__depth': 4}","score_velocity, hard_challenge_efficiency, engagement_persistence, carefulness_index, contemplation_index, exploration_efficiency, time_diff_end_vs_start, time_diff_max_vs_avg, ratio_success_per_duration, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, ratio_struggle_time, HighOrd_Star_x_Effort, HighOrd_Score_x_PCADuration, Comp_GBA_DS_Anchored, Comp_GBA_AoL_Anchored",6.7
2,RF_Importance_p80,16,KNN_Regressor,0.7569,0.7655,0.6207,0.0049,"{'model__weights': 'uniform', 'model__p': 1, 'model__n_neighbors': 15}","score_velocity, hard_challenge_efficiency, engagement_persistence, carefulness_index, contemplation_index, exploration_efficiency, time_diff_end_vs_start, time_diff_max_vs_avg, ratio_success_per_duration, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, ratio_struggle_time, HighOrd_Star_x_Effort, HighOrd_Score_x_PCADuration, Comp_GBA_DS_Anchored, Comp_GBA_AoL_Anchored",0.5
3,Kendall_gt0.15,5,SVR_Linear,0.7901,0.7661,0.6152,0.0034,"{'model__epsilon': 0.5, 'model__C': 0.1}","Psych_Calculated_Risk_Growth, stagnation_ratio, exploration_efficiency, hyper_curiosity_index, hint_dependency_gravity",0.5
4,Kendall_gt0.10,5,SVR_Linear,0.7901,0.7661,0.6152,0.0034,"{'model__epsilon': 0.5, 'model__C': 0.1}","Psych_Calculated_Risk_Growth, stagnation_ratio, exploration_efficiency, hyper_curiosity_index, hint_dependency_gravity",0.5
5,MutualInfo_p70,24,XGBoost,0.7742,0.7668,0.6225,0.0016,"{'model__subsample': 0.8, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.8}","humility_challenging, struggle_ratio, grind_capacity, boldness_score, hard_challenge_efficiency, stubbornness_index, impulsive_help_ratio, exploration_efficiency, hint_dependency_gravity, hyper_curiosity_index, frustration_breakdown_ratio, adaptive_learning_capacity, time_diff_phase3_vs_phase1, ratio_success_per_duration, ratio_redo_success, PCA_Duration, Psych_Calculated_Risk, Psych_Ego_Awareness, Psych_Calculated_Risk_Growth, inter_ambition_vs_reality, Comp_GBA_AoL_Anchored, Feat_Cognitive_Waste, Mutant_AoL_Resilience, Mutant_Ego_Death",8.5
6,MutualInfo_p80,16,SVR_RBF,0.7504,0.7695,0.6203,-0.0053,"{'model__gamma': 0.001, 'model__epsilon': 0.1, 'model__C': 0.1}","humility_challenging, struggle_ratio, boldness_score, hard_challenge_efficiency, stubbornness_index, impulsive_help_ratio, exploration_efficiency, hint_dependency_gravity, adaptive_learning_capacity, ratio_redo_success, Psych_Calculated_Risk, Psych_Ego_Awareness, Psych_Calculated_Risk_Growth, inter_ambition_vs_reality, Comp_GBA_AoL_Anchored, Mutant_AoL_Resilience",1.2
7,RFE_Ridge_Top20,20,CatBoost,0.7512,0.7696,0.6233,-0.0056,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 3, 'model__iterations': 50, 'model__depth': 4}","sum_weighted_score, score_velocity, boldness_score, hard_challenge_efficiency, apathy_speed, engagement_persistence, carefulness_index, time_diff_max_vs_avg, ratio_hint_time, ratio_success_per_duration, ratio_redo_success, PCA_Hints, Comp_Awareness_Limit, Psych_Calculated_Risk, Psych_Adaptability_Log, inter_exploratory_brilliance, inter_obsessive_correction, Comp_GBA_DS_Anchored, Feat_Strategic_Growth, Mutant_Omega_Curiosity",6.8
8,RF_Importance_p80,16,ElasticNet,0.7498,0.7698,0.6224,-0.0063,"{'model__l1_ratio': 0.1, 'model__alpha': 1.0}","score_velocity, hard_challenge_efficiency, engagement_persistence, carefulness_index, contemplation_index, exploration_efficiency, time_diff_end_vs_start, time_diff_max_vs_avg, ratio_success_per_duration, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, ratio_struggle_time, HighOrd_Star_x_Effort, HighOrd_Score_x_PCADuration, Comp_GBA_DS_Anchored, Comp_GBA_AoL_Anchored",0.4
9,RF_Importance_p80,16,Lasso,0.7498,0.7698,0.6224,-0.0062,{'model__alpha': 0.1},"score_velocity, hard_challenge_efficiency, engagement_persistence, carefulness_index, contemplation_index, exploration_efficiency, time_diff_end_vs_start, time_diff_max_vs_avg, ratio_success_per_duration, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, ratio_struggle_time, HighOrd_Star_x_Effort, HighOrd_Score_x_PCADuration, Comp_GBA_DS_Anchored, Comp_GBA_AoL_Anchored",0.3
10,MutualInfo_p80,16,SVR_Linear,0.76,0.7707,0.6252,-0.0084,"{'model__epsilon': 0.5, 'model__C': 1.0}","humility_challenging, struggle_ratio, boldness_score, hard_challenge_efficiency, stubbornness_index, impulsive_help_ratio, exploration_efficiency, hint_dependency_gravity, adaptive_learning_capacity, ratio_redo_success, Psych_Calculated_Risk, Psych_Ego_Awareness, Psych_Calculated_Risk_Growth, inter_ambition_vs_reality, Comp_GBA_AoL_Anchored, Mutant_AoL_Resilience",0.9
11,RFE_Ridge_Top20,20,ElasticNet,0.7505,0.7714,0.6225,-0.0105,"{'model__l1_ratio': 0.5, 'model__alpha': 1.0}","sum_weighted_score, score_velocity, boldness_score, hard_challenge_efficiency, apathy_speed, engagement_persistence, carefulness_index, time_diff_max_vs_avg, ratio_hint_time, ratio_success_per_duration, ratio_redo_success, PCA_Hints, Comp_Awareness_Limit, Psych_Calculated_Risk, Psych_Adaptability_Log, inter_exploratory_brilliance, inter_obsessive_correction, Comp_GBA_DS_Anchored, Feat_Strategic_Growth, Mutant_Omega_Curiosity",0.5
12,RFE_Ridge_Top20,20,Lasso,0.7505,0.7714,0.6225,-0.0105,{'model__alpha': 1.0},"sum_weighted_score, score_velocity, boldness_score, hard_challenge_efficiency, apathy_speed, engagement_persistence, carefulness_index, time_diff_max_vs_avg, ratio_hint_time, ratio_success_per_duration, ratio_redo_success, PCA_Hints, Comp_Awareness_Limit, Psych_Calculated_Risk, Psych_Adaptability_Log, inter_exploratory_brilliance, inter_obsessive_correction, Comp_GBA_DS_Anchored, Feat_Strategic_Growth, Mutant_Omega_Curiosity",0.4
13,Lasso_NonZero,31,ElasticNet,0.7513,0.7714,0.6225,-0.0105,"{'model__l1_ratio': 0.7, 'model__alpha': 1.0}","grind_capacity, boldness_score, engagement_persistence, delayed_gratification_hint, keypad_dominance, hesitation_penalty, exploration_efficiency, hint_dependency_gravity, reckless_action_index, calculated_risk_taking, stubborn_failure_magnitude, time_diff_end_vs_start, time_diff_max_vs_avg, ratio_hint_time, ratio_success_per_duration, inter_hint_x_skip, PCA_Dur_squared, Comp_Awareness_Limit, Psych_Flow_Stamina, Psych_Deprivation_Fixation, Psych_Adaptability_Log, Psych_Learned_Helplessness, Psych_Calculated_Risk_Growth, ratio_struggle_time, ratio_score_per_hint, inter_cowardice_penalty, HighOrd_Score_x_PCADuration, Comp_GBA_AoL_Anchored, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience",0.8
