,FS_Method,N_Features,ML_Model,CV_RMSE_dev,Holdout_RMSE,Holdout_MAE,Holdout_R2,Best_Params,Features,Time_sec
1,RF_Importance_p80,16,KNN_Regressor,0.7058,0.6795,0.5338,0.062,"{'model__weights': 'distance', 'model__p': 1, 'model__n_neighbors': 15}","sum_weighted_score, score_velocity, hint_reading_duration, carefulness_index, contemplation_index, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_success_per_duration, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, Psych_Flow_Stamina, inter_obsessive_correction, Comp_GBA_AoL_Anchored, Mutant_AoL_Resilience, Mutant_Ego_Death",0.4
2,MutualInfo_p70,24,HuberRegressor,0.7054,0.6807,0.5419,0.0587,"{'model__epsilon': 1.35, 'model__alpha': 0.01}","sum_weighted_score, humility_challenging, grind_capacity, score_velocity, boldness_score, hard_challenge_efficiency, hint_effectiveness, stubbornness_index, impulsive_help_ratio, adaptive_learning_capacity, stubborn_failure_magnitude, time_diff_max_vs_avg, ratio_redo_success, Comp_Joyous_Exploration, Psych_Calculated_Risk, Psych_Calculated_Risk_Growth, inter_strategic_retreat, inter_exploratory_brilliance, inter_cowardice_penalty, Feat_Resilient_Explorer, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity, Mutant_Ego_Death",3.0
3,RF_Importance_p80,16,CatBoost,0.6945,0.6809,0.5361,0.0582,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 3, 'model__iterations': 50, 'model__depth': 4}","sum_weighted_score, score_velocity, hint_reading_duration, carefulness_index, contemplation_index, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_success_per_duration, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, Psych_Flow_Stamina, inter_obsessive_correction, Comp_GBA_AoL_Anchored, Mutant_AoL_Resilience, Mutant_Ego_Death",9.7
4,MutualInfo_p70,24,CatBoost,0.6944,0.6813,0.5354,0.0573,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 3, 'model__iterations': 50, 'model__depth': 4}","sum_weighted_score, humility_challenging, grind_capacity, score_velocity, boldness_score, hard_challenge_efficiency, hint_effectiveness, stubbornness_index, impulsive_help_ratio, adaptive_learning_capacity, stubborn_failure_magnitude, time_diff_max_vs_avg, ratio_redo_success, Comp_Joyous_Exploration, Psych_Calculated_Risk, Psych_Calculated_Risk_Growth, inter_strategic_retreat, inter_exploratory_brilliance, inter_cowardice_penalty, Feat_Resilient_Explorer, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity, Mutant_Ego_Death",6.9
5,Spearman_gt0.15,22,CatBoost,0.6916,0.6816,0.5365,0.0563,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 3, 'model__iterations': 50, 'model__depth': 4}","sum_weighted_score, humility_challenging, struggle_ratio, grind_capacity, score_velocity, stubbornness_index, hint_dependency_gravity, adaptive_learning_capacity, ratio_redo_success, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Calculated_Risk, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",8.4
6,RFE_Ridge_Top20,20,CatBoost,0.6945,0.6825,0.54,0.0539,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 5, 'model__iterations': 50, 'model__depth': 6}","sum_weighted_score, humility_challenging, struggle_ratio, apathy_speed, exploration_efficiency, ratio_hint_time, ratio_redo_success, PCA_Duration, PCA_Hints, Psych_Adaptability, Psych_Calculated_Risk_Growth, ratio_hint_per_star, ratio_struggle_time, inter_ambition_vs_reality, inter_strategic_retreat, inter_exploratory_brilliance, Comp_GBA_DS_Anchored, Feat_Resilient_Explorer, Feat_Strategic_Growth, Mutant_Omega_Curiosity",6.4
7,MutualInfo_p80,16,CatBoost,0.6916,0.6825,0.5346,0.0539,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 3, 'model__iterations': 50, 'model__depth': 4}","sum_weighted_score, humility_challenging, score_velocity, boldness_score, hard_challenge_efficiency, stubbornness_index, adaptive_learning_capacity, time_diff_max_vs_avg, ratio_redo_success, Comp_Joyous_Exploration, Psych_Calculated_Risk, Psych_Calculated_Risk_Growth, inter_strategic_retreat, inter_exploratory_brilliance, Feat_Strategic_Growth, Mutant_Omega_Curiosity",5.5
8,Kendall_gt0.10,24,CatBoost,0.6946,0.6828,0.5381,0.053,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 3, 'model__iterations': 50, 'model__depth': 4}","sum_weighted_score, humility_challenging, struggle_ratio, grind_capacity, score_velocity, stubbornness_index, hint_reliance_ratio, hint_dependency_gravity, adaptive_learning_capacity, stubborn_failure_magnitude, ratio_redo_success, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Calculated_Risk, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",7.4
9,Spearman_gt0.15,22,RandomForest,0.6992,0.6832,0.5405,0.0519,"{'model__n_estimators': 100, 'model__min_samples_split': 2, 'model__max_features': 'sqrt', 'model__max_depth': 5}","sum_weighted_score, humility_challenging, struggle_ratio, grind_capacity, score_velocity, stubbornness_index, hint_dependency_gravity, adaptive_learning_capacity, ratio_redo_success, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Calculated_Risk, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",4.7
10,RF_Importance_med,40,CatBoost,0.6956,0.684,0.5382,0.0497,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 3, 'model__iterations': 50, 'model__depth': 4}","sum_weighted_score, score_velocity, hard_challenge_efficiency, hint_reading_duration, hint_effectiveness, engagement_persistence, impulsive_help_ratio, carefulness_index, contemplation_index, exploration_efficiency, hyper_curiosity_index, adaptive_learning_capacity, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_hint_time, ratio_success_per_duration, PCA_Duration, PCA_Hints, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, Comp_Awareness_Limit, Psych_Flow_Stamina, Psych_Impulsive_Quit, ratio_struggle_time, inter_sweet_victory, HighOrd_Star_x_Effort, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, HighOrd_Score_x_PCAStar, HighOrd_Score_x_PCADuration, Comp_GBA_DS_Anchored, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity, Mutant_Ego_Death",14.1
11,Pearson_gt0.15,15,SVR_Linear,0.6957,0.6841,0.543,0.0493,"{'model__epsilon': 0.5, 'model__C': 10.0}","sum_weighted_score, humility_challenging, struggle_ratio, score_velocity, adaptive_learning_capacity, ratio_redo_success, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Calculated_Risk, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Feat_Resilient_Explorer, Feat_Strategic_Growth, Mutant_Omega_Curiosity",0.6
