Feature,Pearson,Spearman,Kendall,MutualInfo,RF_Importance,Lasso_Coef,RFE_Rank,RFE_Rank_30
sum_weighted_score,0.42930259679214894,0.43794350284823114,0.3031819398769841,0.1339236844963545,0.09752118776577257,0.2387983537923252,1,1
inter_obsessive_correction,0.409250653252627,0.4098321086822174,0.2811786069616153,0.10439509805477787,0.001296299226438736,0.0,15,5
Feat_Resilient_Explorer,0.389350729325892,0.38592261060745464,0.26414844627489037,0.11870148569286698,0.0023040633065731166,2.395280441374852e-07,55,45
Mutant_Omega_Curiosity,0.37550764791509417,0.36184612646849534,0.2467969564726723,0.07778445934845779,0.005013919449781782,1.5045653582302884e-07,51,41
inter_exploratory_brilliance,0.3698918671605921,0.35018336120116506,0.24550818127550206,0.08937593122408183,0.009723083850103004,0.040216580082890016,1,1
Psych_Calculated_Risk,0.34304742133561,0.34686250019353626,0.23819174805826446,0.06016423015669936,0.0012969161380779848,0.016582000553523057,31,21
score_velocity,0.26808520036542116,0.31420525775881925,0.21345767309331198,0.0727442163169858,0.018278939085300382,0.0,17,7
Feat_Strategic_Growth,0.26613137438631324,0.29633219181826176,0.20478154417358715,0.034919827148401694,0.0033416012274770325,0.04884641513080845,14,4
humility_challenging,0.2583522353939619,0.24175717483477746,0.18185224827802945,0.2912141416642837,0.005925126351191626,1.360801593849584e-09,61,51
struggle_ratio,0.25422584619620536,0.2533572002145863,0.19471411768954192,0.08808687176279006,0.015258221396581036,0.0,1,1
Comp_Joyous_Exploration,0.24248047416408813,0.26257767257260095,0.17871812367875833,0.10652551581918557,0.002650099807618372,0.0,5,1
ratio_redo_success,0.23845135190046163,0.22692474653817532,0.15810356142648474,0.15618492608978363,0.02214011560903946,0.0,6,1
inter_cowardice_penalty,0.23696319812175465,0.3219800763331033,0.2183327806030241,0.07600417257143421,0.008861284205510925,5.451496979215177e-09,58,48
impulsive_help_ratio,0.21893109843634567,0.2042421165646952,0.14719538737596946,0.11474757585389472,0.004396787787792596,0.0,26,16
Feat_Ego_vs_Capacity,0.21857090661796683,0.30415087183648465,0.20836080939988857,0.07448119766427252,0.015170444429320758,0.0,46,36
ratio_score_per_hint,0.2117853476664154,0.29913805948066924,0.2035499739250055,0.0763599920292779,0.005292241379888267,2.051043724137957e-08,57,47
Mutant_AoL_Resilience,0.20568425870731966,0.38178486324112404,0.2586842308534555,0.08327131149602618,0.00867840028346984,0.007179742366360508,1,1
Comp_GBA_DS_Anchored,0.2049454046325363,0.20908394232408523,0.14052980730862158,0.0734320030007285,0.007126390484451608,0.0005934235415196675,16,6
Comp_Awareness_Limit,0.19532178404596973,0.16967860079623026,0.11533438514550833,0.03262221839606383,0.0058834225773071415,0.01678224261323418,39,29
Psych_Ego_Awareness,0.1771431158887008,0.22499684136291312,0.1616185172902461,0.05865024662925844,0.01664392877268409,0.01823312202678581,1,1
hint_reliance_ratio,0.17188935895063182,0.20320257334522587,0.14049962627665383,0.018531189167389606,0.02172097664949597,6.068538906967639e-08,56,46
adaptive_learning_capacity,0.1682648271421753,0.33390764147021074,0.22702209676526225,0.16625062938061763,0.005818974472933435,0.0064519172398158926,37,27
carefulness_index,0.15545343536806966,0.15346382181564058,0.10452960605535247,0.04064363511393765,0.006836157964048609,0.021461371168399346,27,17
HighOrd_Score_x_PCADuration,0.15345789957824146,0.11905929474669696,0.0819378661890152,0.01788433886417451,0.0011075516887351713,0.0,1,1
grind_capacity,0.1471521924767608,0.218236975422338,0.17049375916382287,0.11192047334509292,0.004387175221250736,1.3093950725299995e-07,54,44
Comp_GBA_AoL_Anchored,0.1432110197704386,0.2607224155717475,0.17185261639533478,0.1583066797633368,0.006388386132472366,0.0033500326628290162,43,33
boldness_score,0.13676873463949865,0.15188682397130504,0.10572708527005978,0.0,0.011621055993254406,0.010013376413800783,3,1
delayed_gratification_hint,0.13187143156812148,0.13394546072573751,0.10180082757186301,0.030277451523307075,0.0012354007747169117,0.0011988075491512918,40,30
stubbornness_index,0.1298061309912504,0.22284890240582259,0.17299086818988196,0.1261912181722462,0.004542811422835847,0.01464880181480191,24,14
hard_challenge_efficiency,0.12646074926991316,0.09671673444618417,0.06670143276261188,0.09467523417223234,0.0012794790836879418,0.000998319179227598,47,37
PCA_Duration,0.12557380043064523,0.1403198871126614,0.09502342709108237,0.0112810203285858,0.010857968644822082,1.3676692662762448e-08,60,50
stubborn_failure_magnitude,0.11072767918328989,0.18266347258214227,0.1433801225496416,0.04385760678939166,0.001567187337779229,3.594968807152268e-09,59,49
Psych_Calculated_Risk_Growth,0.10949165577581418,0.1482183257385027,0.10402850158461731,0.06871594719259111,0.009985564663433177,5.2312995356919496e-08,53,43
ratio_success_per_duration,0.10763888870179984,0.13124892073396346,0.08927931112180225,0.06633862046352679,0.0011186210125272735,0.029669531705400716,28,18
PCA_Hints,0.1073074368647394,0.10214955809247482,0.07048230331427509,0.019640765267225913,0.029366340831281833,0.008627680846523043,22,12
Mutant_Ego_Death,0.10251061137881826,0.12833309313361937,0.08595990173587768,0.038594947900438825,0.018319415740795007,0.0,36,26
Psych_Independent_Efficiency,0.09956600001232063,0.08896784649151279,0.06098733143299405,0.02921017699584283,0.02572115353878572,0.0,25,15
hint_dependency_gravity,0.09892283013388817,0.1825091243976785,0.14263793494267496,0.07350115381063538,0.01344854935886328,0.0,1,1
learning_adaptability,0.09766940873637085,0.07800539427326858,0.05299196873234799,0.028234312024922215,0.02129600564803159,0.01957426548830101,30,20
HighOrd_Score_x_PCAStar,0.09450758522238036,0.06466294310199427,0.04368403751668955,0.05873002039810693,0.005577555467320411,0.0,1,1
ratio_hint_time,0.09390915746904063,0.08330021976867857,0.05683294658033317,0.03354357249628048,0.002477121427127183,0.00818642746075624,41,31
inter_ambition_vs_reality,0.09228671509488424,0.10785002166962089,0.07582135943346761,0.0023249365170134872,0.00904252937914738,0.0,10,1
reckless_action_index,0.09009258236386611,0.08614953730467896,0.06252421155107102,0.06758591567156813,0.013525811169303441,0.0,1,1
Psych_Flow_Stamina,0.08617822557929433,0.0788311355655539,0.05257514416486448,0.0,0.017465548688586238,0.0,21,11
Feat_Cognitive_Waste,0.08459168568691859,0.09494042060501824,0.06595808841324123,0.0,0.019279431536189755,0.0,35,25
PCA_Performance_Star,0.0825140204892581,0.0886638170465054,0.060377816460351716,0.0,0.007116626445259049,0.0,1,1
hint_reading_duration,0.0803429472979282,0.07821181568304504,0.05314960428746977,0.04055637143821311,0.008084773010200086,0.01292846485002195,33,23
calculated_risk_taking,0.07838591892654913,0.0992462308662907,0.07940688228405489,0.001612987827377177,0.006243024266517929,0.0,1,1
Psych_Deprivation_Fixation,0.07307350063007059,0.02121707336203928,0.01510637170078545,0.0,0.020100670699629616,0.0,23,13
stagnation_ratio,0.072395053983252,0.13640995482618792,0.0976737650519927,0.003128670000160483,0.0048601766875796485,0.0,29,19
time_diff_phase3_vs_phase1,0.0704003109189808,0.06438435444458264,0.0435052407523621,0.008226538026602892,0.007919374172031396,0.02054712265549098,9,1
exploration_efficiency,0.0701288677314463,0.07876654084576717,0.054579048161247846,0.0,0.00731617988931769,0.0,12,2
ratio_hint_per_star,0.05343772656713164,0.08225119459132868,0.057866715727046415,0.008388808532004077,0.0012154430198026613,0.0,1,1
keypad_dominance,0.05078031156307031,0.04944918327182284,0.0366833052252343,0.016751761910573038,0.0014370770882042153,0.0,44,34
star_efficiency,0.04986561616319276,0.04780936130385707,0.03661064396870325,0.00669331346649793,0.003736132290290799,2.668144935589428e-07,52,42
hint_vs_skip_ratio,0.04461365626186766,0.05855464240353425,0.04139510508070478,0.0,0.004961906829209293,2.97286751100752e-07,48,38
hesitation_penalty,0.04385673921287649,0.02181999126191597,0.01663377788730334,0.0,0.00568836457118842,2.9867119948974155e-07,50,40
frustration_breakdown_ratio,0.04337606041889319,0.08722897536481054,0.06946695659819388,0.02089073755370907,0.0027742576092158896,0.0,1,1
Psych_Adaptability,0.04323424330573894,0.04940119431861021,0.036903886532027856,0.0,0.0018512304490394022,0.0,20,10
engagement_persistence,0.041620698474634905,0.07072375742740601,0.048034919998052636,0.0018033448913672423,0.018300767578291143,0.017931962643510383,1,1
hint_effectiveness,0.041029498431825254,0.025173264533734665,0.016669112853405204,0.020573240222299116,0.00260568495999095,0.0,2,1
inter_strategic_retreat,0.03898321470762112,0.028636795056942038,0.021522999088445967,0.030588991341246707,0.013510185875287739,3.108550594624019e-08,49,39
apathy_speed,0.03518323839505005,0.01041766224454373,0.007728396375601297,0.0,0.004219452843745108,0.0,1,1
time_diff_end_vs_start,0.03474873681580389,0.031034643451892534,0.021139918382906207,0.026783627203517124,0.009244406977727637,0.0,11,1
contemplation_index,0.03438371268398413,0.008338996230387714,0.005611238280350557,0.025221308194860015,0.0168275123660538,0.0015258105360353364,34,24
