,FS_Method,N_Features,ML_Model,CV_RMSE_dev,Holdout_RMSE,Holdout_MAE,Holdout_R2,Best_Params,Features,Time_sec
1,Pearson_gt0.20,12,SVR_RBF,0.6996,0.651,0.5209,0.1495,"{'model__gamma': 'scale', 'model__epsilon': 0.5, 'model__C': 0.1}","sum_weighted_score, humility_challenging, struggle_ratio, score_velocity, impulsive_help_ratio, ratio_redo_success, Psych_Calculated_Risk, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Feat_Resilient_Explorer, Mutant_Omega_Curiosity",1.2
2,Kendall_gt0.20,11,SVR_RBF,0.6965,0.6512,0.5157,0.149,"{'model__gamma': 'scale', 'model__epsilon': 0.5, 'model__C': 0.1}","sum_weighted_score, humility_challenging, score_velocity, adaptive_learning_capacity, Psych_Calculated_Risk, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Feat_Resilient_Explorer, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",1.5
3,Pearson_gt0.15,21,SVR_RBF,0.6984,0.6526,0.518,0.1454,"{'model__gamma': 'scale', 'model__epsilon': 0.5, 'model__C': 0.1}","sum_weighted_score, humility_challenging, struggle_ratio, score_velocity, hard_challenge_efficiency, impulsive_help_ratio, ratio_redo_success, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Calculated_Risk, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_DS_Anchored, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",1.5
4,RFE_Ridge_Top30,30,CatBoost,0.6922,0.6538,0.5204,0.1422,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 1, 'model__iterations': 50, 'model__depth': 4}","sum_weighted_score, struggle_ratio, score_velocity, boldness_score, hard_challenge_efficiency, hint_vs_skip_ratio, carefulness_index, tuas_dominance, star_efficiency, exploration_efficiency, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, PCA_Duration, PCA_Hints, PCA_Dur_x_PCA_Hints, Comp_Joyous_Exploration, Psych_Calculated_Risk, Psych_Ego_Awareness, Psych_Impulsive_Quit, Psych_Adaptability, Psych_Calculated_Risk_Growth, ratio_struggle_time, inter_strategic_retreat, inter_exploratory_brilliance, inter_obsessive_correction, HighOrd_Score_x_PCADuration, Comp_GBA_DS_Anchored, Feat_Resilient_Explorer, Mutant_AoL_Resilience",10.3
5,Lasso_NonZero,37,SVR_RBF,0.7083,0.6539,0.5229,0.142,"{'model__gamma': 'scale', 'model__epsilon': 0.5, 'model__C': 0.1}","sum_weighted_score, struggle_ratio, grind_capacity, score_velocity, boldness_score, hard_challenge_efficiency, hint_vs_skip_ratio, engagement_persistence, impulsive_help_ratio, hint_reliance_ratio, carefulness_index, tuas_dominance, keypad_dominance, hesitation_penalty, hint_dependency_gravity, reckless_action_index, calculated_risk_taking, stubborn_failure_magnitude, time_diff_end_vs_start, time_diff_max_vs_avg, ratio_success_per_duration, inter_hint_x_skip, PCA_Duration, PCA_Dur_x_PCA_Hints, Comp_Awareness_Limit, Psych_Deprivation_Fixation, Psych_Ego_Awareness, Psych_Independent_Efficiency, ratio_hint_per_star, ratio_struggle_time, HighOrd_Star_x_Effort, inter_obsessive_correction, HighOrd_Score_x_PCAStar, Comp_GBA_AoL_Anchored, Feat_Cognitive_Waste, Mutant_AoL_Resilience, Mutant_Ego_Death",2.4
6,RFE_Ridge_Top20,20,SVR_RBF,0.6998,0.6546,0.5228,0.14,"{'model__gamma': 'scale', 'model__epsilon': 0.5, 'model__C': 0.1}","sum_weighted_score, struggle_ratio, boldness_score, hard_challenge_efficiency, carefulness_index, time_diff_max_vs_avg, PCA_Duration, Comp_Joyous_Exploration, Psych_Calculated_Risk, Psych_Ego_Awareness, Psych_Impulsive_Quit, Psych_Adaptability, Psych_Calculated_Risk_Growth, ratio_struggle_time, inter_strategic_retreat, inter_exploratory_brilliance, inter_obsessive_correction, HighOrd_Score_x_PCADuration, Comp_GBA_DS_Anchored, Feat_Resilient_Explorer",2.3
7,MutualInfo_p90,8,CatBoost,0.6951,0.6547,0.5195,0.1398,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 3, 'model__iterations': 50, 'model__depth': 4}","humility_challenging, boldness_score, Comp_Joyous_Exploration, Psych_Calculated_Risk, Psych_Calculated_Risk_Growth, inter_obsessive_correction, Comp_GBA_AoL_Anchored, Mutant_AoL_Resilience",3.6
8,RFE_Ridge_Top20,20,RandomForest,0.6955,0.6552,0.527,0.1385,"{'model__n_estimators': 100, 'model__min_samples_split': 2, 'model__max_features': 'sqrt', 'model__max_depth': 5}","sum_weighted_score, struggle_ratio, boldness_score, hard_challenge_efficiency, carefulness_index, time_diff_max_vs_avg, PCA_Duration, Comp_Joyous_Exploration, Psych_Calculated_Risk, Psych_Ego_Awareness, Psych_Impulsive_Quit, Psych_Adaptability, Psych_Calculated_Risk_Growth, ratio_struggle_time, inter_strategic_retreat, inter_exploratory_brilliance, inter_obsessive_correction, HighOrd_Score_x_PCADuration, Comp_GBA_DS_Anchored, Feat_Resilient_Explorer",5.9
9,MutualInfo_p90,8,SVR_RBF,0.6991,0.6552,0.5171,0.1386,"{'model__gamma': 'scale', 'model__epsilon': 0.5, 'model__C': 0.1}","humility_challenging, boldness_score, Comp_Joyous_Exploration, Psych_Calculated_Risk, Psych_Calculated_Risk_Growth, inter_obsessive_correction, Comp_GBA_AoL_Anchored, Mutant_AoL_Resilience",0.9
10,MutualInfo_p80,16,SVR_RBF,0.6993,0.6555,0.5169,0.1379,"{'model__gamma': 'scale', 'model__epsilon': 0.5, 'model__C': 0.1}","sum_weighted_score, humility_challenging, boldness_score, hard_challenge_efficiency, adaptive_learning_capacity, Comp_Joyous_Exploration, Psych_Calculated_Risk, Psych_Calculated_Risk_Growth, inter_ambition_vs_reality, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Mutant_AoL_Resilience",1.2
