,FS_Method,N_Features,ML_Model,CV_RMSE_dev,Holdout_RMSE,Holdout_MAE,Holdout_R2,Best_Params,Features,Time_sec
1,Kendall_gt0.15,2,RandomForest,0.8288,0.8788,0.7342,0.0272,"{'model__n_estimators': 200, 'model__min_samples_split': 5, 'model__max_features': 'sqrt', 'model__max_depth': 5}","sum_weighted_score, inter_exploratory_brilliance",4.1
2,Kendall_gt0.15,2,CatBoost,0.8237,0.8815,0.7388,0.0212,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 3, 'model__iterations': 50, 'model__depth': 4}","sum_weighted_score, inter_exploratory_brilliance",3.0
3,Pearson_gt0.15,11,PLSRegression,0.8245,0.8816,0.7395,0.0211,{'model__n_components': 2},"sum_weighted_score, score_velocity, impulsive_help_ratio, Psych_Calculated_Risk, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_Omega_Curiosity",1.4
4,Kendall_gt0.10,15,Ridge,0.8254,0.8823,0.7422,0.0195,{'model__alpha': 500.0},"sum_weighted_score, score_velocity, impulsive_help_ratio, adaptive_learning_capacity, Psych_Calculated_Risk, Psych_Ego_Awareness, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",0.3
5,Spearman_gt0.15,15,Ridge,0.8254,0.8823,0.7422,0.0195,{'model__alpha': 500.0},"sum_weighted_score, score_velocity, impulsive_help_ratio, adaptive_learning_capacity, Psych_Calculated_Risk, Psych_Ego_Awareness, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",0.3
6,RFE_Ridge_Top20,20,ElasticNet,0.8271,0.8826,0.7416,0.0187,"{'model__l1_ratio': 0.3, 'model__alpha': 0.1}","humility_challenging, boldness_score, hard_challenge_efficiency, apathy_speed, delayed_gratification_hint, time_diff_max_vs_avg, ratio_hint_time, ratio_success_per_duration, ratio_redo_success, PCA_Duration, PCA_Hints, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Calculated_Risk, Psych_Ego_Awareness, Psych_Calculated_Risk_Growth, PCA_Performance_Star, inter_exploratory_brilliance, inter_obsessive_correction, Mutant_Omega_Curiosity",0.6
7,RF_Importance_p80,16,SVR_RBF,0.83,0.8828,0.7359,0.0183,"{'model__gamma': 0.01, 'model__epsilon': 0.01, 'model__C': 0.1}","sum_weighted_score, score_velocity, contemplation_index, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_success_per_duration, PCA_Dur_x_PCA_Hints, Psych_Flow_Stamina, ratio_struggle_time, inter_exploratory_brilliance, inter_obsessive_correction, Comp_GBA_DS_Anchored, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Mutant_AoL_Resilience",1.4
8,Pearson_gt0.20,6,Ridge,0.8236,0.8838,0.7414,0.0161,{'model__alpha': 500.0},"sum_weighted_score, Psych_Calculated_Risk, inter_exploratory_brilliance, inter_obsessive_correction, Feat_Resilient_Explorer, Mutant_Omega_Curiosity",0.2
9,RF_Importance_p80,16,Ridge,0.8262,0.8838,0.7384,0.016,{'model__alpha': 500.0},"sum_weighted_score, score_velocity, contemplation_index, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_success_per_duration, PCA_Dur_x_PCA_Hints, Psych_Flow_Stamina, ratio_struggle_time, inter_exploratory_brilliance, inter_obsessive_correction, Comp_GBA_DS_Anchored, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Mutant_AoL_Resilience",0.3
10,Kendall_gt0.15,2,Lasso,0.8238,0.8839,0.74,0.016,{'model__alpha': 0.01},"sum_weighted_score, inter_exploratory_brilliance",0.2
11,MutualInfo_p80,16,PLSRegression,0.8315,0.884,0.7455,0.0157,{'model__n_components': 2},"humility_challenging, grind_capacity, boldness_score, hard_challenge_efficiency, hint_reading_duration, stubbornness_index, impulsive_help_ratio, adaptive_learning_capacity, ratio_redo_success, Psych_Ego_Awareness, Psych_Calculated_Risk_Growth, inter_ambition_vs_reality, HighOrd_Star_x_Effort, Comp_GBA_AoL_Anchored, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",0.3
12,Kendall_gt0.15,2,Ridge,0.8221,0.8842,0.7398,0.0153,{'model__alpha': 100.0},"sum_weighted_score, inter_exploratory_brilliance",0.2
13,Kendall_gt0.15,2,ElasticNet,0.8235,0.8843,0.7409,0.015,"{'model__l1_ratio': 0.1, 'model__alpha': 0.01}","sum_weighted_score, inter_exploratory_brilliance",0.2
14,Kendall_gt0.15,2,PLSRegression,0.8239,0.8843,0.7409,0.015,{'model__n_components': 2},"sum_weighted_score, inter_exploratory_brilliance",0.1
15,RFE_Ridge_Top20,20,SVR_RBF,0.8288,0.8843,0.7446,0.015,"{'model__gamma': 0.01, 'model__epsilon': 0.01, 'model__C': 0.1}","humility_challenging, boldness_score, hard_challenge_efficiency, apathy_speed, delayed_gratification_hint, time_diff_max_vs_avg, ratio_hint_time, ratio_success_per_duration, ratio_redo_success, PCA_Duration, PCA_Hints, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Calculated_Risk, Psych_Ego_Awareness, Psych_Calculated_Risk_Growth, PCA_Performance_Star, inter_exploratory_brilliance, inter_obsessive_correction, Mutant_Omega_Curiosity",1.6
16,Kendall_gt0.10,15,ElasticNet,0.8277,0.8846,0.7433,0.0142,"{'model__l1_ratio': 0.3, 'model__alpha': 0.1}","sum_weighted_score, score_velocity, impulsive_help_ratio, adaptive_learning_capacity, Psych_Calculated_Risk, Psych_Ego_Awareness, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",0.4
17,Spearman_gt0.15,15,ElasticNet,0.8277,0.8846,0.7433,0.0142,"{'model__l1_ratio': 0.3, 'model__alpha': 0.1}","sum_weighted_score, score_velocity, impulsive_help_ratio, adaptive_learning_capacity, Psych_Calculated_Risk, Psych_Ego_Awareness, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",0.4
