,FS_Method,N_Features,ML_Model,CV_RMSE_dev,Holdout_RMSE,Holdout_MAE,Holdout_R2,Best_Params,Features,Time_sec
1,Spearman_gt0.20,16,KNN_Regressor,1.045,1.0621,0.8574,0.0761,"{'model__weights': 'uniform', 'model__p': 1, 'model__n_neighbors': 15}","sum_weighted_score, struggle_ratio, score_velocity, boldness_score, adaptive_learning_capacity, Comp_Joyous_Exploration, Psych_Calculated_Risk, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",0.8
2,Pearson_gt0.15,22,SVR_RBF,1.0283,1.0674,0.8558,0.0669,"{'model__gamma': 'scale', 'model__epsilon': 0.5, 'model__C': 0.1}","sum_weighted_score, humility_challenging, struggle_ratio, score_velocity, boldness_score, hint_reliance_ratio, carefulness_index, adaptive_learning_capacity, ratio_redo_success, Comp_Joyous_Exploration, Comp_Awareness_Limit, Psych_Calculated_Risk, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Comp_GBA_DS_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",2.4
3,Kendall_gt0.20,7,SVR_Linear,1.025,1.0687,0.8501,0.0646,"{'model__epsilon': 0.5, 'model__C': 10.0}","sum_weighted_score, Psych_Calculated_Risk, inter_exploratory_brilliance, inter_obsessive_correction, Feat_Resilient_Explorer, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",0.3
4,Kendall_gt0.15,16,CatBoost,1.0192,1.07,0.8553,0.0623,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 1, 'model__iterations': 50, 'model__depth': 4}","sum_weighted_score, struggle_ratio, score_velocity, stubbornness_index, adaptive_learning_capacity, Comp_Joyous_Exploration, Psych_Calculated_Risk, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",7.7
5,Kendall_gt0.15,16,KNN_Regressor,1.0432,1.0718,0.854,0.0592,"{'model__weights': 'uniform', 'model__p': 1, 'model__n_neighbors': 15}","sum_weighted_score, struggle_ratio, score_velocity, stubbornness_index, adaptive_learning_capacity, Comp_Joyous_Exploration, Psych_Calculated_Risk, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",0.5
6,Spearman_gt0.20,16,SVR_RBF,1.0229,1.0719,0.8644,0.0589,"{'model__gamma': 0.01, 'model__epsilon': 0.1, 'model__C': 1.0}","sum_weighted_score, struggle_ratio, score_velocity, boldness_score, adaptive_learning_capacity, Comp_Joyous_Exploration, Psych_Calculated_Risk, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",1.6
7,Spearman_gt0.20,16,CatBoost,1.0203,1.0727,0.8598,0.0576,"{'model__learning_rate': 0.05, 'model__l2_leaf_reg': 1, 'model__iterations': 50, 'model__depth': 4}","sum_weighted_score, struggle_ratio, score_velocity, boldness_score, adaptive_learning_capacity, Comp_Joyous_Exploration, Psych_Calculated_Risk, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",9.1
8,RF_Importance_med,40,SVR_RBF,1.0336,1.0729,0.8601,0.0572,"{'model__gamma': 'scale', 'model__epsilon': 0.5, 'model__C': 0.1}","sum_weighted_score, struggle_ratio, score_velocity, hard_challenge_efficiency, hint_reading_duration, engagement_persistence, carefulness_index, contemplation_index, exploration_efficiency, hyper_curiosity_index, adaptive_learning_capacity, time_diff_end_vs_start, time_diff_phase3_vs_phase1, time_diff_max_vs_avg, ratio_hint_time, ratio_success_per_duration, PCA_Duration, PCA_Hints, PCA_Dur_x_PCA_Hints, PCA_Dur_squared, Comp_Awareness_Limit, Psych_Calculated_Risk, Psych_Flow_Stamina, ratio_struggle_time, inter_sweet_victory, HighOrd_Star_x_Effort, ratio_score_per_hint, inter_obsessive_correction, inter_cowardice_penalty, HighOrd_Score_x_PCAStar, HighOrd_Score_x_PCADuration, Comp_GBA_DS_Anchored, Comp_GBA_AoL_Anchored, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Cognitive_Waste, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity, Mutant_Ego_Death",3.5
9,Spearman_gt0.20,16,ElasticNet,1.0198,1.0746,0.8583,0.0543,"{'model__l1_ratio': 0.3, 'model__alpha': 0.1}","sum_weighted_score, struggle_ratio, score_velocity, boldness_score, adaptive_learning_capacity, Comp_Joyous_Exploration, Psych_Calculated_Risk, ratio_score_per_hint, inter_exploratory_brilliance, inter_obsessive_correction, inter_cowardice_penalty, Feat_Resilient_Explorer, Feat_Ego_vs_Capacity, Feat_Strategic_Growth, Mutant_AoL_Resilience, Mutant_Omega_Curiosity",0.7
10,MutualInfo_p90,8,SVR_Linear,1.0202,1.0756,0.8583,0.0524,"{'model__epsilon': 0.01, 'model__C': 10.0}","sum_weighted_score, humility_challenging, boldness_score, Psych_Calculated_Risk, Psych_Calculated_Risk_Growth, inter_exploratory_brilliance, inter_obsessive_correction, HighOrd_Score_x_PCADuration",0.8
